orientation,m,n,ratio,presolve,median_iters_dual_simplex,median_iters_primal_simplex,median_time_s_dual_simplex,median_time_s_primal_simplex
tall,75,75,1.0,True,121.0,83.0,0.009315776000221376,0.00693851799951517
tall,143,75,1.903654,True,99.5,69.0,0.010444881500006886,0.01138275050016091
tall,272,75,3.623898,True,99.0,67.0,0.017497745000582654,0.016443942499790865
tall,517,75,6.898648,True,85.5,65.0,0.029478278999704344,0.028685802500149293
tall,985,75,13.132639,True,93.0,63.5,0.05492230399977416,0.05205786249916855
tall,1875,75,25.0,True,73.5,62.0,0.10539245050040336,0.10003526099990268
tall,75,75,1.0,False,121.0,83.0,0.007278760999724909,0.006944351500351331
tall,143,75,1.903654,False,99.5,69.0,0.01019408000047406,0.010476647000359662
tall,272,75,3.623898,False,99.0,67.0,0.01700766000067233,0.01615244749973499
tall,517,75,6.898648,False,85.5,65.0,0.03197767700021359,0.028935433499100327
tall,985,75,13.132639,False,93.0,63.5,0.052783560499847226,0.05043241300063528
tall,1875,75,25.0,False,73.5,62.0,0.09923084050024045,0.0977928599995721
wide,75,75,1.0,True,121.0,83.0,0.010918936501184362,0.009019732000524527
wide,75,143,1.903654,True,308.0,171.0,0.014699817998916842,0.014015474001098482
wide,75,272,3.623898,True,654.5,228.5,0.03160820250013785,0.0226253139999244
wide,75,517,6.898648,True,1441.0,255.5,0.0607873090002613,0.03911124999922322
wide,75,985,13.132639,True,2476.5,292.5,0.14706654549991072,0.06869859549988178
wide,75,1875,25.0,True,3945.0,345.0,0.42178568150029605,0.1340677999996842
wide,75,75,1.0,False,121.0,83.0,0.009492876500189595,0.00864214749981329
wide,75,143,1.903654,False,308.0,171.0,0.014725478499713063,0.01289123649985413
wide,75,272,3.623898,False,654.5,228.5,0.02887602600003447,0.022154955499900097
wide,75,517,6.898648,False,1441.0,255.5,0.06084551999992982,0.03846539149981254
wide,75,985,13.132639,False,2476.5,292.5,0.13988614549998601,0.06733811750018504
wide,75,1875,25.0,False,3945.0,345.0,0.4225335584997083,0.13538108600096166
